名前と入手方法,評価点
ラファエル(クリスマス) (獣神化),8.0
坂本龍馬MV(獣神化),8.0
切島鋭児郎(獣神化),8.0
鬼丸国綱(進化),8.0
ナツ(獣神化),8.0
伏姫α(獣神化),8.0
土方十四郎＆沖田総悟(獣神化),8.0
ベートーヴェン(クリスマス) (獣神化),8.0
カナタ(神化),8.0
緋村剣心(神化),8.0
背徳ピストルズ(フラパ限定) (進化),8.0
アポロ(ハロウィン) (獣神化),8.0
ノンノ(獣神化),8.0
スコール(神化),8.0
ランスロットX(夏限定) (獣神化),8.0
ベートーヴェン(獣神化),8.0
背徳ピストルズ(進化),8.0
カグツチ(進化),8.0
ランスロットX(獣神化),8.0
アテナ(獣神化),8.0
ラミエル(クリスマス) (進化),8.0
ビナー(進化),8.0
茨木童子(獣神化),8.0
太公望α(獣神化),8.0
リボン(フラパ限定) (獣神化),8.0
西王母(獣神化),8.0
ツタンカーメン(進化),8.0
エレン(獣神化),8.0
ザドキエル(イースター) (進化),8.0
ラファエル(獣神化),8.0
雷禅(進化),7.5
海馬(進化),7.5
宮本武蔵(クリスマス) (神化),7.5
レイ天草(獣神化),7.5
石川五右衛門(新春) (進化),7.5
スパイダーマン(進化),7.5
カエサル(進化),7.5
エルザ(獣神化),7.5
カマエル(神化),7.5
セーラーマーキュリー(進化),7.5
チップ&デール(進化),7.5
緋村剣心(進化),7.5
相楽左之助(進化),7.5
キリト(神化),7.5
服部半蔵MV(獣神化),7.5
メタトロン(神化),7.5
カマエル(クリスマス) (神化),7.5
城之内(進化),7.5
クラウド(神化),7.5
キング(進化),7.5
石川五右衛門(進化),7.5
セーラームーン(神化),7.5
アリババα(獣神化),7.5
デビルズパンク(進化),7.5
ミロク(進化),7.5
比古清十郎(進化),7.5
天草四郎(獣神化),7.5
ソラ(神化),7.5
天草四郎(獣神化),7.5
グィネヴィア(クリスマス) (神化),7.5
ハーレーα(獣神化),7.5
ユウナ&ティーダ(進化),7.5
ビナー(神化),7.5
デビルズパンク(フラパ限定) (進化),7.5
トウヤ(神化),7.0
浦飯幽助(神化),7.0
氷河(進化),7.0
朽木ルキア(獣神化),7.0
司波達也(進化),7.0
ユウナ&ティーダ(神化),7.0
スコール(進化),7.0
レイ(進化),7.0
蔵馬(神化),7.0
バン(進化),7.0
月麗(獣神化),7.0
戦場ヶ原ひたぎ(進化),7.0
ゴン(進化),7.0
ヒカリ(獣神化),7.0
サンダルフォン(神化),7.0
レンブラント(夏限定/進化) (神化),7.0
忍野忍(進化),7.0
ハーレーX(獣神化),7.0
雷禅(神化),7.0
Two for all(進化),7.0
ナイチンゲール(進化),7.0
浦飯幽助(進化),7.0
ウルトラセブン(進化),6.5
コルセア(クリスマス) (神化),6.5
キャプテンアメリカ(進化),6.5
蔵馬(進化),6.5
リュウ(神化),6.5
飛影(進化),6.5
メリオダス(進化),6.5
クラウド(進化),6.5
エルリック兄弟(神化),6.5
レインボーミカ(進化),6.5
ハンソロ(進化),6.5
御坂美琴(進化),6.5
グィネヴィア(クリスマス) (進化),6.5
バルボッサ(進化),6.5
リンヤオ(神化),6.5
ノクティス(進化),6.5
躯(進化),6.5
春麗(神化),6.5
ロイマスタング(進化),6.5
忍野忍(神化),6.5
セシル(進化),6.5
ジャックスパロウ(進化),6.5
ジャックスパロウ(進化),6.5
ジャックスパロウ(進化),6.5
ライトニング(神化),6.5
ライトニング(進化),6.5
ロキ(進化),6.5
アイアンマン(進化),6.5
ウルトラマン(神化),6.5
ウルトラマン(進化),6.5
星矢(神化),6.5
星矢(進化),6.5
リュウ(進化),6.5
ルーク(進化),6.5
バトラ(進化),6.5
ギルガメッシュ(進化),6.5
ケン(神化),6.5
ウルトラマンタロウ(進化),6.5
春麗(進化),6.5
紫龍(進化),6.5
モスラ(進化),6.5
オルタナティブドラゴン(進化),6.5
ケン(進化),6.5
キャミィ(進化),6.5
ガイル(進化),6.5
ガイル(神化),6.5
ウィルターナー(進化),6.0
メカゴジラ(進化),4.0
クラピカ(獣神化),10
Two for all(獣神化),10
エクスカリバー(神化),10
Two for all(フラパ限定) (獣神化),10
